Joshua DiMauro,Witch Lights,Creativity Grant,"$500.00"
Victoria Trofimova,Disco Hall Of Fame,Creativity Grant,"$700.00"
Magill Foote,"Camp Blue Screen of Deaths Lie-Fi Not-Spot",Creativity Grant,"$300.00"
Bradford Carreiro,Altaer,Creativity Grant,"$700.00"
Ian Lippincott,Peepers Not Creepers,Creativity Grant,"$500.00"
Alex Gribov,The Caterpillar Lounge,Creativity Grant,"$500.00"
Matt Seaman,Community Sand Mandala,Creativity Grant,"$300.00"
Emily Lamkin,There is no Default World,Creativity Grant,"$500.00"
Molly Donaldson,Rose Windows,Creativity Grant,"$300.00"
Greg Shaw,Ethereal Windows,Creativity Grant,"$500.00"
Missy Leigh,Padmas,Creativity Grant,"$500.00"
David Fisher,Reflection Tree,Creativity Grant,"$500.00"
Allison Sichling,Woven Forest,Creativity Grant,"$300.00"
Lanya Butler,Power and Influence,Creativity Grant,"$300.00"
Johnathan West,Whirlwind Inferno,Creativity Grant,"$700.00"
